Group Number,Subhalo ID,Snapshot,Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Subhalo ID at Snap,Subfind ID at snapp
19752,831935,59,0.8153749704360962,62932.7109375,49589.79296875,27536.548828125,62.90553283691406,-24.091989517211914,-122.62889099121094,60000018800049265,405394
19752,831935,58,1.046221375465393,62903.4375,49597.62890625,27584.71484375,66.76136016845703,-23.418460845947266,-115.91785430908203,60000018800049266,531566
19752,831935,57,1.1695866584777832,62875.49609375,49608.30859375,27631.3671875,69.12901306152344,-21.641664505004883,-109.00389862060547,60000018800049267,468329
19752,831935,56,1.1881178617477417,62843.88671875,49619.05859375,27682.21875,70.0274887084961,-20.25904655456543,-105.46370697021484,60000018800049268,422777
19752,831935,55,1.2087669372558594,62814.71875,49629.40625,27725.96875,69.99490356445312,-20.30167579650879,-102.62596893310547,60000018800049269,378374
19752,831935,54,1.1605857610702515,62806.23046875,49630.40625,27737.13671875,70.2130126953125,-20.040977478027344,-101.38492584228516,60000018800049270,372821
19752,831935,53,1.1145223379135132,62788.48828125,49635.47265625,27764.185546875,69.02146911621094,-20.10063362121582,-98.4976577758789,60000018800049271,349174
19752,831935,52,1.0525749921798706,62766.48046875,49645.6484375,27799.568359375,65.67721557617188,-19.727928161621094,-94.4654769897461,60000018800049272,313050
19752,831935,51,0.926562488079071,62748.546875,49650.61328125,27829.4453125,63.19587326049805,-17.993715286254883,-90.1759262084961,60000018800049273,290718
19752,831935,50,0.8021383881568909,62726.29296875,49656.3125,27859.6953125,61.2183723449707,-16.958126068115234,-83.07490539550781,60000018800049274,279685
19752,831935,49,0.7671937346458435,62720.96875,49657.28125,27864.921875,61.095916748046875,-16.3739070892334,-82.31362915039062,60000018800049275,279010
19752,831935,48,0.6750669479370117,62703.1953125,49661.859375,27890.396484375,59.796573638916016,-14.947400093078613,-79.64752197265625,60000018800049276,266619
19752,831935,47,0.6305919885635376,62680.96484375,49668.24609375,27919.095703125,58.93954086303711,-14.216034889221191,-78.18209838867188,60000018800049277,236115
19752,831935,46,0.5734097957611084,62659.0234375,49675.10546875,27944.072265625,59.10017776489258,-15.381673812866211,-75.69214630126953,60000018800049278,209733
19752,831935,45,0.5252285599708557,62651.39453125,49676.4375,27956.591796875,57.6292610168457,-14.9479341506958,-73.26188659667969,60000018800049279,203454
19752,831935,44,0.5284053683280945,62643.8203125,49677.78125,27964.1875,57.542335510253906,-16.093679428100586,-72.61627960205078,60000018800049280,186129
19752,831935,43,0.4706937372684479,62622.29296875,49681.52734375,27983.26171875,56.834877014160156,-15.065645217895508,-71.29273223876953,60000018800049281,164227
19752,831935,42,0.45745715498924255,62607.0546875,49683.68359375,28008.701171875,55.680233001708984,-14.782034873962402,-69.00618743896484,60000018800049282,133320
19752,831935,41,0.4516330361366272,62599.1171875,49686.2578125,28016.91015625,55.45145797729492,-14.904838562011719,-68.91722106933594,60000018800049283,118348
19752,831935,40,0.36956608295440674,62590.44140625,49688.74609375,28029.271484375,55.10721206665039,-15.792219161987305,-66.69808197021484,60000018800049284,124917
19752,831935,39,0.3325035572052002,62575.6875,49692.2890625,28049.318359375,51.52541732788086,-16.654041290283203,-64.45259094238281,60000018800049285,109500
19752,831935,38,0.29385268688201904,62555.125,49693.62890625,28066.875,52.59728240966797,-15.700172424316406,-63.284027099609375,60000018800049286,93175
19752,831935,37,0.26208481192588806,62543.9375,49699.28515625,28086.166015625,52.03929901123047,-15.26006031036377,-62.85478973388672,60000018800049287,76942
19752,831935,36,0.21390357613563538,62528.109375,49706.94140625,28100.173828125,47.80830383300781,-15.9981107711792,-60.615257263183594,60000018800049288,68979
19752,831935,35,0.2107267826795578,62526.8828125,49705.4140625,28100.26953125,48.14570999145508,-15.822219848632812,-59.757484436035156,60000018800049289,65479
19752,831935,34,0.18690089881420135,62515.10546875,49710.3515625,28116.515625,47.40544128417969,-15.741728782653809,-58.351871490478516,60000018800049290,56252
19752,831935,33,0.16784018278121948,62501.11328125,49716.24609375,28123.87109375,48.419776916503906,-12.02336311340332,-59.503440856933594,60000018800049291,44917
19752,831935,32,0.16254553198814392,62501.51171875,49708.87109375,28145.298828125,46.46468734741211,-13.609396934509277,-57.92900085449219,60000018800049292,42026
19752,831935,31,0.09265624731779099,62493.6015625,49704.265625,28156.060546875,49.5569953918457,-3.4099104404449463,-64.16217803955078,60000018800049293,39011
19752,831935,30,0.07200714200735092,62488.6640625,49699.109375,28173.99609375,49.35920333862305,-5.230374813079834,-59.84054946899414,60000018800049294,57705
19752,831935,29,0.039709821343421936,62477.73046875,49700.2265625,28187.1953125,44.19844436645508,2.4446840286254883,-51.18268585205078,60000018800049295,85203
19752,831935,28,0.029649998992681503,62469.875,49702.2265625,28196.943359375,43.336368560791016,0.44335392117500305,-51.74555206298828,60000018800049296,86988
19752,831935,27,0.024355357512831688,62459.92578125,49701.83203125,28215.634765625,42.24435043334961,-1.2573983669281006,-53.03724670410156,60000018800049297,73309
19752,831935,26,0.019060714170336723,62451.89453125,49700.578125,28222.52734375,39.73170852661133,-2.7065131664276123,-50.011661529541016,60000018800049298,65046
19826,832334,135,5.491074085235596,25705.431640625,41670.4453125,52977.72265625,-266.66497802734375,193.22242736816406,-290.44598388671875,13755162,832334
