Group Number,Subhalo ID,Mass at z=0,Max Mass,Max Mass Snap,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Flag
19223,828992,8.219481869177386,8.219481869177386,135,9943.6748046875,67987.4921875,74145.0859375,363.4945983886719,-132.9875030517578,-51.103118896484375,0
19227,829010,8.1630755554546,8.1630755554546,135,74348.1875,32549.470703125,8846.37109375,252.54165649414062,-412.87738037109375,136.31378173828125,0
19233,829037,8.196919479153374,8.196919479153374,135,32162.76953125,40191.71875,36393.5859375,-151.3806915283203,11.989940643310547,369.41412353515625,0
19241,829061,8.213465186682615,8.213465186682615,135,44192.9296875,21901.591796875,59710.77734375,-166.57192993164062,-69.7623062133789,-85.35176849365234,0
19249,829101,8.204440501603214,8.204440501603214,135,55312.1875,53198.875,39627.0,84.08560943603516,147.7593231201172,132.63975524902344,0
19320,829525,8.067561821504073,9.146044200116938,75,66041.3125,15468.958984375,30526.04296875,117.77630615234375,75.4716796875,-237.81800842285156,0
19353,829718,8.14878601919521,8.1630755554546,134,51339.4296875,17546.9453125,64577.1796875,-99.43964385986328,-32.04155731201172,-70.93871307373047,0
19368,829806,8.03296606649052,14.63021067055789,102,39025.30859375,67372.90625,42560.73046875,48.38521194458008,230.8149871826172,226.65892028808594,0
19405,830017,8.120206946676428,8.120206946676428,135,22542.244140625,58184.61328125,62044.26171875,-125.61803436279297,-264.77398681640625,-100.61320495605469,0
19411,830054,8.02845372395082,8.02845372395082,135,6607.4453125,28855.509765625,5790.078125,146.41709899902344,249.03419494628906,-216.90386962890625,0
19459,830333,8.068313652818853,8.068313652818853,135,3924.635498046875,1854.4423828125,16194.48046875,191.56585693359375,109.6148452758789,143.18389892578125,0
19507,830580,8.066809312863784,8.066809312863784,135,41012.0859375,1616.8533935546875,66849.109375,-221.8632049560547,-2.2363884449005127,233.8345184326172,0
19523,830659,8.072825995358555,8.108174259012396,134,37329.11328125,59744.4609375,37065.85546875,-14.316141128540039,210.1986083984375,224.872802734375,0
19600,831087,8.03221355785023,8.03221355785023,135,32359.154296875,71909.890625,68451.4375,-225.81573486328125,202.80999755859375,230.17674255371094,0
19627,831239,8.008147505196659,8.008147505196659,135,43847.90625,56440.89453125,36121.32421875,-85.95832824707031,175.30426025390625,79.14288330078125,0
19659,831416,8.01491601900621,8.02694938399575,134,65552.953125,33692.1796875,47905.8671875,136.13681030273438,41.88729476928711,-24.997859954833984,0
19675,831518,7.858483628793197,8.092380382797936,101,25465.01953125,52759.5078125,40885.41015625,-200.02230834960938,-18.312440872192383,443.52276611328125,0
19745,831901,7.838177410039036,11.403036388483915,103,55077.1015625,7727.75439453125,34591.02734375,88.83485412597656,-493.1845397949219,263.3001708984375,0
19752,831935,7.894583046436311,8.063801310279153,88,63889.296875,49358.9921875,26304.70703125,-18.991994857788086,25.907934188842773,48.88512420654297,0
19826,832334,7.799821143800562,8.039734580300072,113,25705.431640625,41670.4453125,52977.72265625,-266.66497802734375,193.22242736816406,-290.44598388671875,0
20177,834262,7.470409978519787,9.240054271437906,102,10669.39453125,23788.541015625,25898.966796875,-310.88824462890625,-245.443115234375,125.92793273925781,0
20833,837706,7.433558052236384,13.450950384140015,78,34431.02734375,74331.296875,70749.703125,-2.2362654209136963,-153.47691345214844,7.417357444763184,0
20953,838355,7.207934151996266,20.76342295516621,77,40519.34375,37585.48046875,56638.6171875,-385.8954162597656,13.325226783752441,-219.47508239746094,0
