Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Escape Speed z=0,Escape Speed Max Mass,AM Stellar Mass
5772.0,616790.0,0.50305,1.3266690075397491,3.649091856046157,79.0,1.2485,55.36563742000339,73.02496260054194,60524.7109375,9447.564453125,37628.18359375,70.14325714111328,-68.38768768310547,-60.6700325012207,197.08025664011055,206.14398798494238,0.004377192535378943
5773.0,616812.0,0.50305,0.6024160591716117,2.273537726564841,89.0,0.8869,42.55510077475426,63.64539714898812,42024.12890625,38534.0078125,5018.560546875,-100.6035385131836,-143.5996856689453,-173.14181518554688,208.50170042685704,216.68120589594741,0.0018001235746708496
5774.0,616836.0,0.50305,0.40988357398997655,0.6618303754790263,80.0,1.2063,37.428832552303724,41.41019221573888,73564.703125,2693.09912109375,48021.40234375,-60.44969177246094,-63.004661560058594,-268.36090087890625,215.10938577606086,223.49752029803057,0.00016469240906601205
5775.0,616854.0,0.50305,0.3241464622657408,0.6407721137458628,76.0,1.4141,34.612518835030066,40.646603952432386,38405.75390625,20277.806640625,54199.19921875,-310.30633544921875,-79.89505004882812,21.01233673095703,231.54562147349208,241.72458958042932,0.00016097446548986509
5776.0,616866.0,0.50305,0.16846590336750855,0.37378373301842,69.0,1.9041,27.82852031003309,33.581234320114696,68365.453125,18793.421875,7617.42822265625,119.52207946777344,127.97157287597656,142.48045349121094,219.91562165463566,228.6175118251852,6.502588266598855e-05
5777.0,616882.0,0.50305,0.13763062782924285,0.3376838920468634,70.0,1.8227,26.015038526396786,32.50845714635044,57112.9296875,37425.17578125,15719.1220703125,41.1655502319336,-96.45431518554688,121.63288879394531,228.9231636283587,238.60230567144447,5.301917442121525e-05
5778.0,616897.0,0.50305,0.2286323049867695,0.2489384602416645,101.0,0.5463899999999999,30.81049255845809,31.508884720787464,57560.04296875,36960.16796875,25455.59765625,-67.17666625976561,-14.29673957824707,-143.5954132080078,185.7343688011256,192.26166678174798,1.9141974304704222e-05
5779.0,616912.0,0.50305,1.8049918792464519,6.185857409780676,90.0,0.8514700000000001,61.34952348757646,89.09313718853603,40229.97265625,23569.51953125,6050.74560546875,62.36571502685547,72.3837890625,-62.3144645690918,220.2823545073277,232.71072216041273,0.013277275917898129
5780.0,616932.0,0.50305,4.350030286745592,6.007614460858432,87.0,0.9505299999999999,82.2527076571876,87.59638203336249,21178.048828125,44406.78515625,30243.71484375,-288.5621337890625,-37.2074089050293,358.2215881347656,162.73648169658094,167.9535960629822,0.012143811283193657
5781.0,616965.0,0.50305,1.0423827916383743,2.3916141892021354,94.0,0.73264,51.089131606056355,65.58184327727372,12185.2060546875,16386.146484375,66519.421875,-38.79087448120117,385.27178955078125,-28.905597686767567,221.76603365737267,230.90732762323407,0.0020358870146900787
