Group Number,Subhalo ID,Mass at z=0,Max Mass,Max Mass Snap,Redshift,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass,Escape Speed z=0,Escape Speed Max Mass
7799.0,737850.0,1.076226376674392,1.447753980755806,112.0,0.32883,57.437989141384925,58.658262958125974,62964.453125,26835.22265625,62076.52734375,160.16934204101562,-49.391502380371094,107.53182220458984,0.0007991755366242654,191.70218525489057,191.70218525489057
7800.0,737863.0,0.14590351334349674,0.20983029918914486,115.0,0.27335,29.506651901299524,31.14932344909884,26595.794921875,48763.8515625,3379.618408203125,-302.2177734375,63.994590759277344,-69.30146026611328,1.1770730183063535e-05,184.9327928403019,184.9327928403019
7801.0,737870.0,0.13161398766731675,0.27902166105129506,77.0,1.3576,28.510097279383945,30.86666263573543,70784.4453125,9130.8623046875,4391.58544921875,131.03530883789062,148.83709716796875,-21.708454132080078,3.281507278232933e-05,231.00815331909914,231.00815331909914
7802.0,737875.0,0.6332513029602441,1.6613446853377605,107.0,0.41997,48.130833283547574,60.43767555742901,74916.3359375,3044.44580078125,30281.69140625,-53.19400024414063,356.0561828613281,105.70645904541016,0.0010357679943909118,206.64587377157102,206.91096885995546
7803.0,737884.0,0.4016106778925116,0.7558403198014606,101.0,0.5463899999999999,41.35230924949834,45.625998662227275,47997.34375,34087.21875,28437.505859375,30.628162384033203,-223.3305206298828,-125.71541595458984,0.0001937306002382468,224.20662373314738,224.57236615118077
7804.0,737899.0,0.233144774525003,0.9927454997192732,92.0,0.7910699999999999,34.49635792352642,48.65959356365328,73707.5625,44644.10546875,28474.62890625,269.8057861328125,-44.51205062866211,-80.65924835205078,0.00034416593581999177,222.6827361943438,223.02620723586915
7805.0,737910.0,2.1404195576906204,2.5751218199729915,110.0,0.36069,72.23222400071691,70.6571558422486,38559.51171875,50686.60546875,34130.7265625,-28.79231834411621,107.98426818847656,104.95288848876952,0.00272791809187067,217.26763070548495,217.26763070548495
7806.0,737928.0,2.116352997042916,2.2885792634703903,133.0,0.023974,71.96048014770781,73.36821652696725,8614.7001953125,10721.9658203125,42652.1875,152.05804443359375,1.418448805809021,-398.03759765625,0.0030904400196696343,214.7775091501245,214.7775091501245
7807.0,737941.0,0.4174043847755953,0.482835341244936,128.0,0.083884,41.887427157167565,42.978786436205226,58319.6953125,10816.583984375,40330.0,16.427303314208984,-402.7192687988281,-299.4606628417969,7.644290950962645e-05,209.12330143484672,209.12330143484672
7808.0,737967.0,0.3587421537800269,0.6490450098433278,79.0,1.2485,39.82527839154724,41.06779162047137,3516.575439453125,39894.71875,25211.10546875,216.0458221435547,-254.3758850097656,48.88756561279297,0.00015991250065496126,205.66588170621029,205.66588170621029
7809.0,737976.0,1.822289756753228,14.060886068777606,129.0,0.073662,68.46004200495915,132.5835578873151,45866.59765625,34998.01953125,74433.9453125,-66.65790557861328,387.72259521484375,-189.5498504638672,0.1746224969763972,209.87350722605257,210.97862467659345
7811.0,737996.0,0.14515142803165046,0.29180702668699354,93.0,0.75744,29.455865463543702,32.45145727826413,44565.546875,44307.859375,22920.087890625,137.84158325195312,110.08407592773438,166.17201232910156,2.8955721150532312e-05,221.76448335894486,221.79299367982503
7812.0,738004.0,0.20757406442002813,0.3256506117230112,82.0,1.1142,33.186061447449234,32.83535462840557,27262.5546875,40061.12890625,28180.4453125,-246.3814239501953,-74.3441390991211,283.09552001953125,4.086538306193742e-05,213.56289839645186,213.56289839645186
7813.0,738011.0,2.047913656993346,7.359854199669577,114.0,0.29158,71.17627092872185,101.59024553872447,38988.2734375,54509.0546875,7206.7626953125,-100.67594909667969,58.759666442871094,24.22343635559082,0.028249344260405426,219.39082332960916,220.95785218182576
7814.0,738026.0,1.180765557695519,8.851228789849715,87.0,0.95053,59.240571850334604,99.67509843744465,33890.3515625,68839.5078125,4583.36669921875,-200.3561553955078,-86.97714233398438,-211.06544494628903,0.0259978675510168,216.02274448430026,216.56560180124498
7815.0,738035.0,0.1353743930601261,0.20983029918914486,109.0,0.38017,28.779076753635863,30.52720899184236,33838.3125,51797.4921875,44703.984375,-243.9447021484375,188.31895446777344,98.18172454833984,1.235055342865661e-05,189.96607382287513,190.82355352359528
7817.0,738052.0,0.2587155057964,0.7092114114625888,103.0,0.50305,35.71402810725992,44.934303537869546,74359.1484375,33940.93359375,6821.875,164.83200073242188,-553.4588623046875,-53.64639663696289,0.00016915913371365034,191.7072703256045,191.7072703256045
7818.0,738071.0,0.15116806819357656,0.2745091915130615,117.0,0.24354,29.857357691095125,34.28064196773449,52492.91796875,13314.0693359375,47698.203125,-42.16149520874024,-226.7035980224609,-228.89593505859366,2.1084146232702247e-05,200.8588364321752,201.9071337957743
7819.0,738075.0,0.3429484468969432,0.39935446428981697,117.0,0.24354,39.232046515159695,38.84330401555044,61954.890625,48559.25,59648.8125,95.1646499633789,59.7952766418457,-305.2197570800781,4.835291585704505e-05,175.01288592522758,175.06115908141877
7820.0,738082.0,0.4580166952853854,0.7919401607730172,125.0,0.12575999999999998,43.20411561349405,50.14760709503943,59469.4453125,28433.330078125,783.2311401367188,89.9275131225586,149.88453674316406,299.9817199707031,0.0002326983915543375,211.64214628057107,211.64214628057107
7821.0,738087.0,0.15041599346494133,0.19403663463890555,68.0,2.002,29.80776100442252,26.948763673726397,2571.16064453125,50588.16015625,13417.38671875,76.67257690429688,-65.2283935546875,-101.54142761230469,2.003981593760397e-05,204.16386791352457,204.16386791352457
7822.0,738090.0,0.1902762292460962,0.2639800606464798,115.0,0.27335,32.23736442512912,33.62659757678977,19927.9765625,43161.0390625,47013.74609375,293.5018615722656,388.9443664550781,213.6701812744141,1.949908483100089e-05,188.8426921398538,188.8426921398538
7823.0,738101.0,0.10679535229097714,0.3579900684681806,88.0,0.923,26.591865216811108,34.27885842514711,68376.0234375,71550.6796875,63738.1484375,103.26654052734376,-195.9496307373047,-241.43603515625,4.622821044085239e-05,193.57442058537188,193.57442058537188
7824.0,738107.0,5.220939151265405,6.337025626139207,130.0,0.058507,97.23312125808413,102.06177567562685,16938.544921875,8958.3662109375,28467.783203125,-304.8247375488281,56.85931777954102,193.1108245849609,0.030584124529010093,193.2229704321134,193.74681607762645
7825.0,738126.0,6.270842796022242,7.610297338529067,97.0,0.64464,103.35702204528944,97.34915383456024,43757.5546875,14741.3154296875,68078.0859375,-45.67284774780274,-13.28102207183838,-128.34693908691406,0.022167267785740543,173.55912404773304,174.6673227534521
7826.0,738141.0,0.2008053389462558,0.5956473336978393,86.0,0.98785,32.82134960198398,40.44506293276909,23724.4296875,7221.5302734375,16457.45703125,-355.8526611328125,76.38784790039062,-66.87929534912111,0.00012841006433627998,220.94301889095803,220.94301889095803
7827.0,738157.0,0.13086191293868152,0.20757406442002813,96.0,0.67611,28.455688941534557,29.20323771195157,23365.40234375,2359.392822265625,3605.3544921875,-27.419937133789066,50.628273010253906,-51.37240982055664,1.3986416431364289e-05,197.42308296265378,197.42308296265378
7828.0,738166.0,0.4640333354473114,0.721996734765443,113.0,0.31007,43.39247382760261,46.68360928871937,57197.265625,45107.09375,35592.97265625,70.79335021972656,200.0875244140625,5.730179786682129,0.0001769261544857764,194.3709288439776,194.3709288439776
7829.0,738180.0,2.097550948912448,4.941917278549887,109.0,0.38017,71.74674279189173,87.50432596116491,52502.0703125,28766.8359375,43485.00390625,-65.53612518310547,-111.29216766357422,-10.91146183013916,0.010891800698019677,216.92241175821997,216.92241175821997
7832.0,738204.0,0.3880732692778111,0.8107422089034861,111.0,0.34785,40.88235700496698,48.17925406113843,67108.6015625,69658.1171875,40637.66796875,-112.30437469482422,-42.72650909423828,-40.21131896972656,0.0002262676964373205,213.40775406048783,213.40775406048783
7833.0,738214.0,0.442975073714148,0.4820832559330897,126.0,0.10987,42.72588950157064,42.67036423296585,30264.97265625,32044.03125,65747.3984375,-34.189563751220696,-1.7650266885757446,-55.13793563842773,7.53359371386954e-05,234.4239891297177,234.74751484069643
7834.0,738220.0,0.2241198354485361,0.38130454380403866,114.0,0.29158,34.045374432056825,37.87211853404872,30922.0,46310.99609375,23368.37890625,-84.60498046875,29.676572799682607,165.9889373779297,4.3864104754312516e-05,193.41200907972458,193.41200907972458
7835.0,738241.0,0.9167854758826168,2.178023484620181,115.0,0.27335,54.44866777185296,67.94853086824747,33886.11328125,12175.3701171875,40132.75,-136.723388671875,-110.6795425415039,-101.5192642211914,0.0020158630588534435,202.83021431547715,202.83021431547715
7836.0,738256.0,3.3241933719678363,3.6987293172966353,125.0,0.12575999999999998,83.64887600403945,83.82436559798114,12933.0390625,63661.5703125,2235.73681640625,316.9764709472656,133.04013061523438,-321.7314758300781,0.007816283633162077,188.51070242368422,188.51070242368422
7837.0,738274.0,0.3858170133422722,0.6791282106529583,97.0,0.64464,40.802973023785775,43.50263495311082,6396.884765625,51330.453125,47518.40234375,590.7085571289062,-200.30978393554688,39.65123748779297,0.000156796643691168,230.4074533194931,230.4074533194931
7839.0,738290.0,1.4447456395084208,1.6869152472777802,93.0,0.75744,63.36194216377924,58.241610674659185,47122.35546875,64063.5859375,25190.736328125,165.2225341796875,178.13912963867188,44.4365348815918,0.0010017835251879901,202.58892825048935,202.88008434301815
7840.0,738309.0,1.0311015966263686,1.527474346486005,91.0,0.81671,56.62373373143491,56.052526824010194,62385.875,74183.5,43105.14453125,-5.735810279846191,73.27205657958984,-309.6333312988281,0.0008178308640869617,210.5885178076638,210.5885178076638
7841.0,738316.0,0.30158405107530684,1.0792347179217772,119.0,0.21442,37.58669502636351,54.448886581308535,37006.8359375,20316.3125,53859.921875,44.10807418823242,34.76284027099609,90.68534088134766,0.0004434780490020216,219.39667817444902,219.62963328568486
7842.0,738325.0,1.0363661938092923,1.6056907109238885,124.0,0.14188,56.719939975368916,63.21910437747183,55187.82421875,22410.595703125,45521.69140625,54.26605987548828,-145.5196990966797,-178.51727294921875,0.001147965308078546,189.86794953977582,189.86794953977582
7843.0,738338.0,0.18801999447697945,1.3650251044468449,100.0,0.57598,32.10943732066759,55.35073191534406,57765.69140625,68481.6171875,23634.685546875,-130.76336669921878,0.8071692585945129,363.469482421875,0.0006612803413211407,200.07140625768665,200.07140625768665
7845.0,738365.0,0.2542030150917444,0.5287122066048059,99.0,0.59854,35.50516885596605,40.235160610543424,37600.6484375,65208.10546875,48494.80859375,-69.10964965820311,93.66263580322266,-430.5827331542969,9.291263155950304e-05,227.15426421507013,227.34096777581138
7846.0,738385.0,0.2481863749298183,0.31888190741566097,78.0,1.3024,35.22280960115686,32.33649720297205,7656.3916015625,67284.7734375,71980.1171875,270.86883544921875,-170.54379272460938,89.12918090820312,4.161109920631003e-05,205.6927303263536,205.6927303263536
7847.0,738398.0,0.6693511439318007,1.2905691665681926,95.0,0.70011,49.02858430944696,53.56511021466086,41013.3125,44764.921875,17328.84375,-63.04865646362305,-59.38336563110352,54.7843132019043,0.0005839494580780664,222.84188846247352,222.84188846247352
7848.0,738414.0,0.5535308525643565,1.1085658757524055,103.0,0.50305,46.01986010281925,52.148274751786154,49078.24609375,1011.332275390625,28292.908203125,223.61227416992188,-124.25785064697266,257.91018676757807,0.00043202398352529617,196.54312621214928,196.54312621214928
7849.0,738425.0,0.2654842312701724,0.5226955664428798,112.0,0.32883,36.022810506347845,41.76833989326021,20600.349609375,17576.966796875,28044.634765625,-106.84586334228516,60.82860565185547,57.43870162963867,8.750928529391201e-05,223.0205177968726,223.0205177968726
7850.0,738433.0,0.14590351334349674,0.2797737463631413,67.0,2.1033,29.506651901299524,30.40356003561803,33959.3203125,2428.9599609375,70718.2265625,-148.2866668701172,-500.1742858886719,-118.1408462524414,3.9943333082279044e-05,221.45800974285828,221.45800974285828
7851.0,738445.0,0.11356406718153846,0.14966390815309505,108.0,0.39993,27.14219685117001,27.1833052879082,40111.08984375,43806.41796875,15423.0810546875,-11.152474403381348,-1.7334444522857666,28.93202781677246,6.049947503404029e-06,180.97232720533663,180.97232720533663
7852.0,738461.0,0.6926656192676588,0.8160067214207216,128.0,0.083884,49.591345757837715,51.193997570037936,64223.703125,11699.4736328125,54452.4296875,54.61554336547852,-28.56207275390625,-181.91505432128903,0.0002571265712478625,180.99369567119868,180.99369567119868
