First Subhalo ID,Group Mass,First Subhalo Mass,Second Subhalo Mass,First Subhalo x,First Subhalo y,First Subhalo z,Second Subhalo x,Second Subhalo y,Second Subhalo z,First Subhalo Vel v_x,First Subhalo v_y,First Subhalo v_z,Second Subhalo v_x,Second Subhalo v_y,Second Subhalo v_z
595381,117.77496337890625,110.33539338545367,0.21584693935107102,35631.328125,74439.1171875,36106.69921875,35648.53125,74427.1796875,36155.58203125,310.3537292480469,12.94594669342041,292.6083068847656,99.12675476074219,192.4103240966797,236.1803436279297
595426,116.97776751084761,110.7964190569791,0.6986822594295848,740.43115234375,12554.111328125,23021.23828125,815.2786254882812,12571.26953125,22984.193359375,130.41751098632812,539.96826171875,230.26951599121094,2.214165210723877,395.76800537109375,270.7570495605469
595468,115.23067951202393,101.79702802137896,3.594190220941197,27703.125,60332.71484375,62246.80859375,27614.580078125,60392.171875,62173.53515625,-203.32373046875,36.44526672363281,-220.95181274414062,-208.07571411132812,0.9987144470214844,-168.96109008789062
595516,120.03045732324775,111.81924559853294,0.5572912367907438,42905.84765625,17446.0078125,65052.17578125,42891.41015625,17381.70703125,64922.4609375,-118.01935577392578,40.69057846069336,-117.90486145019531,-50.74399185180664,-107.04265594482422,-135.75286865234375
595538,113.02933909676293,103.15828973596747,3.2091252505779266,12403.2255859375,52603.98828125,49442.91015625,12298.736328125,52613.25,49506.51953125,101.10770416259766,-810.721435546875,-274.2594299316406,204.86376953125,-946.271484375,-337.88702392578125
595594,114.25448547710073,108.33109508861196,0.44823967089707206,69971.2578125,58015.3671875,51300.1328125,70013.6171875,57912.296875,51180.35546875,141.5193634033203,254.3863983154297,461.4984436035156,223.31951904296875,462.1417541503906,419.1543884277344
595641,113.05190216411245,105.48598116094416,2.3291915316473357,16607.154296875,16438.54296875,7372.048828125,16573.69921875,16495.30078125,7384.70947265625,-247.1998291015625,-104.04266357421875,0.12272440642118454,-201.61012268066406,-214.06053161621094,-18.102901458740234
595682,106.88635435971348,93.5076041655107,5.635335025462237,28476.853515625,5537.87841796875,32696.044921875,28484.23828125,5407.01318359375,32438.7734375,23.22388458251953,42.26023483276367,6.596511363983154,206.25453186035156,228.3873748779297,-65.71305847167969
595800,111.90573735670611,105.97709092226896,2.206602557138963,34831.796875,62621.10546875,61867.4609375,34795.234375,62529.59765625,62029.1328125,-236.02252197265625,75.37388610839844,-142.20668029785156,-119.39209747314453,86.87493896484375,-239.23963928222656
595855,113.26474493200129,94.10626238042659,5.8180906555869365,74058.578125,30413.552734375,11579.6572265625,73961.96875,30440.6640625,11545.35546875,278.57513427734375,-593.5234985351562,122.62322235107422,399.90228271484375,-688.0444946289062,200.77001953125
595918,113.45050551674584,103.92917286265981,1.7666357823393564,10463.181640625,43170.06640625,31671.259765625,10250.8759765625,43135.453125,31768.548828125,19.230817794799805,-185.1293487548828,138.4314422607422,160.78988647460938,-309.1492919921875,183.0753936767578
595968,111.77035895260899,102.294152433222,2.320166677236557,42831.86328125,70473.734375,47296.22265625,42978.66015625,70453.46875,47471.23046875,-63.345947265625,-247.30636596679688,-443.95806884765625,-57.5678825378418,-363.2599792480469,-418.89044189453125
596082,111.6440079428933,105.3167689930309,2.963946962898428,59269.6640625,2118.96728515625,37135.4296875,59175.37890625,1883.9345703125,37201.625,-200.05628967285156,-297.6827392578125,359.3365173339844,-76.2155532836914,-423.3762512207031,297.25689697265625
596116,113.61896991729736,86.15150776776402,4.978769204833291,73116.421875,55071.11328125,54312.6328125,73127.765625,55118.01953125,54404.0390625,240.2154541015625,152.65232849121094,28.40593147277832,69.94926452636719,124.0897445678711,168.19305419921875
596164,89.20044248754328,91.69734608043325,3.5678673196922652,5042.9912109375,31050.697265625,61526.78125,5082.3125,31063.955078125,61496.703125,128.85264587402344,263.72137451171875,-49.735836029052734,33.74699401855469,260.7125549316406,16.598064422607422
596244,116.96948788382791,99.15271672335538,4.796013913371347,36279.40234375,35751.31640625,4199.99755859375,36305.03515625,35763.734375,4131.22705078125,-116.26481628417969,-114.45940399169922,-166.77696228027344,-281.2043762207031,7.636832237243652,-178.77322387695312
596304,98.5367623242465,91.5439237247814,7.285398515787992,72183.1328125,69006.203125,13364.3154296875,72132.0390625,68830.1640625,13098.5361328125,78.7219009399414,40.054080963134766,-14.482987403869629,112.19012451171875,9.364155769348145,115.8319320678711
596361,111.20404980399393,100.6455963308161,2.4284661154855383,65570.0,52630.30859375,40078.86328125,65725.7109375,52679.95703125,40175.35546875,152.2832489013672,178.94891357421875,103.55801391601562,155.78408813476562,243.8748321533203,145.8701934814453
596408,114.0296134081754,79.74529266357422,17.93710616501895,33219.99609375,73178.6328125,15821.3125,33206.42578125,73139.5546875,15927.9873046875,-130.5203094482422,18.090295791625977,14.126108169555664,-125.76160430908203,29.53719139099121,-117.05949401855469
596456,107.89715160023083,96.31812572479248,3.0414113266901537,6365.35302734375,15312.9169921875,59819.55859375,6288.6416015625,15288.6943359375,59887.51171875,246.26406860351562,127.1497802734375,46.14604949951172,224.9084014892578,240.15672302246094,-98.55894470214844
596541,114.96745456348766,108.4544441916726,0.6490450098433278,65990.8125,40210.26953125,73245.8046875,65964.65625,40311.34765625,73079.7578125,110.91563415527344,-235.4087677001953,71.14159393310547,57.391658782958984,-166.08485412597656,120.83171844482422
596583,117.46737090024082,106.36666688052091,1.7606190998445859,20333.6015625,26933.3046875,64156.875,20200.515625,26862.328125,64077.14453125,-115.70198822021484,5.303375244140625,-108.99099731445312,-111.72846221923828,-176.0205535888672,-122.13935852050781
596694,114.11459879441695,103.25606302781539,2.93010337786241,55846.6953125,50193.8046875,3342.40625,55919.86328125,50270.55078125,3293.642333984375,115.15314483642578,-67.71178436279297,7.833376407623291,98.20402526855469,-157.34616088867188,40.15480041503906
596737,110.66480116410689,101.63232413205235,2.472838894887404,14123.7080078125,19038.474609375,11667.9482421875,13976.115234375,19024.33984375,11594.3173828125,-108.17279815673828,2.7233781814575195,-17.683380126953125,-112.07276153564453,19.56474494934082,23.447969436645508
596800,116.95595221085982,102.6243188164451,1.9922598519108514,32851.96875,20685.23828125,54910.95703125,32835.79296875,20772.71484375,54862.8359375,-92.7798080444336,33.901214599609375,-112.91832733154297,-74.77652740478516,132.9687957763672,-215.2940216064453
596850,91.4017829028043,92.91195869445801,7.963022725148635,15342.4052734375,19745.125,29058.923828125,15388.931640625,19713.251953125,29275.57421875,-37.825347900390625,30.202966690063477,-167.05323791503906,57.153812408447266,1.0367963314056396,-279.54010009765625
596918,111.30031672391026,96.0872390053489,6.792033937844364,68646.1015625,8235.8759765625,31979.921875,68755.6640625,8299.1064453125,31872.521484375,91.81378173828125,259.04559326171875,192.25479125976562,193.92535400390625,206.47605895996094,106.10704040527344
596978,107.07587545568293,97.9170474139127,5.314948883923617,11145.02734375,41661.9375,64979.85546875,11104.8369140625,41754.9375,65301.0625,26.85394287109375,37.47935485839844,-174.1742401123047,73.83140563964844,96.81905364990234,-121.20833587646484
597030,99.0985631942749,74.11446896466342,15.195774761113254,37412.8515625,57984.76171875,28642.91015625,37316.609375,57911.76953125,28699.04296875,108.845458984375,-20.57957649230957,305.3016357421875,64.42739868164062,25.76543617248535,370.8526611328125
597080,109.64197462255305,100.54406252774326,1.2108487161723052,2863.663818359375,36420.74609375,27225.60546875,2689.38134765625,36550.59375,27204.359375,275.03009033203125,-113.6199722290039,-101.77134704589844,342.4156188964844,-126.853515625,-233.96731567382812
597153,91.47848866202615,80.21684668280862,15.15365866097537,47904.30078125,72416.859375,8397.1064453125,48036.6953125,72454.2734375,8513.6201171875,-47.432891845703125,68.78778076171875,47.900657653808594,-59.08396911621094,-17.42866325378418,122.10344696044922
597221,116.93113500421698,109.16590690612793,0.2286323049867695,24687.6171875,8023.0,70114.4140625,24852.48828125,8039.96923828125,70030.359375,18.339988708496094,-233.26235961914062,162.43597412109375,40.96157455444336,-381.7887268066406,129.8009796142578
597257,106.90816965970127,71.34606621482156,17.634017900987107,39537.21484375,57989.6328125,28646.333984375,39623.83984375,58060.921875,28531.8203125,-142.7904815673828,-44.772640228271484,140.66461181640625,-269.2173156738281,87.22261810302734,200.2235565185547
597314,99.95668584650214,93.75879981301048,11.205991560762579,20191.466796875,5216.60595703125,26268.55859375,20404.16796875,5359.93310546875,26256.888671875,-12.97371768951416,281.7774963378906,-95.6402359008789,48.44099044799805,282.4868469238281,-8.09520149230957
597345,89.98185396194458,64.07119469209151,12.181439182975076,2184.815185546875,55669.609375,64101.34375,2181.1162109375,55494.19140625,63946.94921875,137.3545684814453,66.71259307861328,-401.61590576171875,205.6309051513672,137.5974578857422,-325.0358581542969
597415,113.64605210044168,95.53671966899526,5.381884222680872,74844.1015625,13163.421875,66532.46875,74851.8984375,13163.40625,66455.4921875,162.76470947265625,156.44293212890625,1.9367009401321411,-12.465978622436523,166.32334899902344,-27.40650749206543
597485,113.16546526822178,106.86529766429555,0.44071886011145334,6135.5625,50297.16015625,38633.0859375,6198.5791015625,50304.5859375,38730.40625,200.39869689941406,86.41638946533203,410.3321228027344,-22.566892623901367,24.571216583251953,391.86309814453125
